thetaP,Vpp mV,u(theta P),u(Vpp)
90,134,0.5,2
85,142,0.5,2
80,144,0.5,2
75,144,0.5,2
70,140,0.5,2
65,134,0.5,2
60,124,0.5,2
55,110,0.5,2
50,95.2,0.5,0.2
45,80,0.5,0.2
40,62,0.5,0.2
35,47.2,0.5,0.2
30,34,0.5,0.2
25,24,0.5,0.2
20,15.2,0.5,0.2
15,9.6,0.5,0.2
10,6,0.5,0.2
5,6,0.5,0.2
0,6.4,0.5,0.2
-5,7.6,0.5,0.2
-10,10,0.5,0.2
-15,12.8,0.5,0.2
-20,16,0.5,0.2
-25,18.4,0.5,0.2
-30,21,0.5,0.2
-35,24.4,0.5,0.2
-40,28.2,0.5,0.2
-45,33,0.5,0.2
-50,40,0.5,0.2
-55,48.8,0.5,0.2
-60,58.8,0.5,0.2
-65,72,0.5,0.2
