ThetaA,Vdpp,u(theta A),u(Vpp)
90,56,0.5,0.2
85,65.6,0.5,0.2
80,73.6,0.5,0.2
75,84.8,0.5,0.2
70,93.6,0.5,0.2
65,105,0.5,2
60,111,0.5,2
55,117,0.5,2
50,123,0.5,2
45,126,0.5,2
40,129,0.5,2
35,130,0.5,2
30,130,0.5,2
25,127,0.5,2
20,123,0.5,2
15,116,0.5,2
10,107,0.5,2
5,100,0.5,2
0,91.2,0.5,0.2
-5,83.2,0.5,0.2
-10,74.4,0.5,0.2
-15,64.8,0.5,0.2
-20,54.4,0.5,0.2
-25,45.6,0.5,0.2
-30,38.4,0.5,0.2
-35,32,0.5,0.2
-40,26.4,0.5,0.2
-45,22.2,0.5,0.2
-50,19.2,0.5,0.2
-55,17.8,0.5,0.2
-60,19.4,0.5,0.2
-65,22.8,0.5,0.2
-70,27.4,0.5,0.2
-75,33.2,0.5,0.2
-80,40.8,0.5,0.2
-85,48.8,0.5,0.2
-90,57.6,0.5,0.2
-95,67.2,0.5,0.2
